,,,,,,,,,
Exam 1,Question 1,Functional neuroimaging techniques include all of the following except:,A. CT.,"EPPP-P1-PHY-Neurological and Endocrine Disorders-035 Answer A is correct. Computed tomography (CT) and magnetic resonance imaging (MRI) are structural neuroimaging techniques that provide information on the brain's physical structure, while functional magnetic resonance imaging (fMRI), positron-emission tomography (PET), and single proton emission computed tomography (SPECT) are functional techniques that provide information on brain activity.",PHY,Neurological and Endocrine Disorders,"Computed tomography (CT) and magnetic resonance imaging (MRI) are structural neuroimaging techniques that provide information on the brain's physical structure, while functional magnetic resonance imaging (fMRI), positron-emission tomography (PET), and single proton emission computed tomography (SPECT) are functional techniques that provide information on brain activity.",035,"Functional neuroimaging techniques include magnetic resonance imaging (MRI), functional magnetic resonance imaging (fMRI), positron-emission tomography (PET), and single proton emission computed tomography (SPECT), but not computed tomography (CT), which is a structural neuroimaging technique."
Exam 1,Question 2,"There is evidence that, for patients with schizophrenia, involvement of family members in the patient's care:",B. increases the patient's medication adherence and reduces the patient's risk for relapse.,"EPPP-P1-PPA-Schizophrenia Spectrum/Other Psychotic Disorders--214 Answer B is correct. There is evidence that involvement of the family or other support system in the care of a patient with schizophrenia increases the patient's medication adherence and reduces the risk for relapse (e.g., Miller & Buckley, 2018).",PPA,Schizophrenia Spectrum/Other Psychotic Disorders-,"There is evidence that involvement of the family or other support system in the care of a patient with schizophrenia increases the patient's medication adherence and reduces the risk for relapse (e.g., Miller & Buckley, 2018).",214,Involvement of family members in the care of patients with schizophrenia increases the patient's medication adherence and reduces the patient's risk for relapse.
Exam 1,Question 3,The goodness-of-fit model developed by Thomas and Chess (1977) focuses on the match between a child's __________ and the demands of the social environment.,A. temperament,"EPPP-P1-LIF-Socioemotional Development - Temperament and Personality-142 Answer A is correct. The goodness-of-fit model proposes that maladjustment in young children is often the result of a mismatch between the child's temperament and the demands of the social environment, especially the parents' expectations and childrearing practices.",LIF,Socioemotional Development - Temperament and Personality,"The goodness-of-fit model proposes that maladjustment in young children is often the result of a mismatch between the child's temperament and the demands of the social environment, especially the parents' expectations and childrearing practices.",142,The goodness-of-fit model developed by Thomas and Chess (1977) focuses on the match between a child's temperament and the demands of the social environment.
Exam 1,Question 4,The analysis of covariance (ANCOVA) is used to:,A. statistically remove the effects of an extraneous variable on the dependent variable.,"EPPP-P1-RMS-Inferential Statistical Tests-094 Answer A is correct. The ANCOVA is used to statistically remove the effects of an extraneous variable from scores on the dependent variable so that it's easier to detect the effects of the independent variable on the dependent variable. When using the ANCOVA, the extraneous variable is the ""covariate.""",RMS,Inferential Statistical Tests,"The ANCOVA is used to statistically remove the effects of an extraneous variable from scores on the dependent variable so that it's easier to detect the effects of the independent variable on the dependent variable. When using the ANCOVA, the extraneous variable is the ""covariate.""",094,The analysis of covariance (ANCOVA) is used to statistically remove the effects of an extraneous variable on the dependent variable.
Exam 1,Question 5,"A young man complains that ""everyone at work hates me."" His therapist says it may be true that his coworkers hate him and asks him to list the ways they have expressed their hate. The therapist is using which of the following paradoxical techniques?",D. positioning,"EPPP-P1-CLI-Family Therapies and Group Therapies-149 Answer D is correct. When using positioning, the therapist accepts and exaggerates the client's concern in order to help the client recognize its absurdity or irrationality.",CLI,Family Therapies and Group Therapies,"When using positioning, the therapist accepts and exaggerates the client's concern in order to help the client recognize its absurdity or irrationality.",149,"Using the paradoxical technique of positioning, the therapist accepts and exaggerates the client's concern in order to help the client recognize its absurdity or irrationality."
Exam 1,Question 6,"When a supervisor has legal responsibility for the actions of a psychology intern, the intern:",B. must inform clients that he/she is being supervised and give them the supervisor's name.,"EPPP-P1-ETH-APA Ethics Code Standards 9 & 10-205 Answer B is correct. This situation is addressed in Standard 10.01(c) of the APA Ethics Code, which states that ""when the therapist is a trainee and the legal responsibility for the treatment provided resides with the supervisor,"" the client must be informed that the therapist is a trainee who is being supervised and be given the supervisor's name. This answer is also consistent with the requirements of Standards III.13 and III.22 of the Canadian Code of Ethics.",ETH,APA Ethics Code Standards 9 & 10,"This situation is addressed in Standard 10.01(c) of the APA Ethics Code, which states that ""when the therapist is a trainee and the legal responsibility for the treatment provided resides with the supervisor,"" the client must be informed that the therapist is a trainee who is being supervised and be given the supervisor's name. This answer is also consistent with the requirements of Standards III.13 and III.22 of the Canadian Code of Ethics.",205,"When the supervisor has legal responsibility for the actions of a psychology intern, the intern must inform clients that he/she is being supervised and give them the supervisor's name."
Exam 1,Question 7,Restitution and positive practice are components of which of the following?,C. overcorrection,"EPPP-P1-LEA-Interventions Based on Operant Conditioning-086 Answer C is correct. Overcorrection is used to reduce or eliminate an undesirable behavior and is classified as a type of positive punishment. It consists of two components: Restitution requires the individual to fix any negative consequences of the behavior (e.g., having a child clean up the food he threw on the floor while the family ate dinner). Positive practice involves practicing more appropriate behaviors (e.g., having the child scrape the uneaten food off the plates of other family members into the garbage can).",LEA,Interventions Based on Operant Conditioning,"Overcorrection is used to reduce or eliminate an undesirable behavior and is classified as a type of positive punishment. It consists of two components: Restitution requires the individual to fix any negative consequences of the behavior (e.g., having a child clean up the food he threw on the floor while the family ate dinner). Positive practice involves practicing more appropriate behaviors (e.g., having the child scrape the uneaten food off the plates of other family members into the garbage can).",086,"Overcorrection, which is used to reduce or eliminate an undesirable behavior, consists of restitution (fixing any negative consequences) and positive practice (practicing more appropriate behaviors)."
Exam 1,Question 8,The tendency to attribute all problems experienced by students with learning disabilities to their learning disabilities and overlook other possible explanations is an example of the:,C. diagnostic overshadowing bias.,"EPPP-P1-CLI-Prevention, Consultation, and Psychotherapy Research-179 Answer C is correct. The diagnostic overshadowing bias is the tendency to attribute all of a person's symptoms to one diagnosis (e.g., to a learning disability) and overlook the possibility that they may be due to a comorbid condition.",CLI,"Prevention, Consultation, and Psychotherapy Research","The diagnostic overshadowing bias is the tendency to attribute all of a person's symptoms to one diagnosis (e.g., to a learning disability) and overlook the possibility that they may be due to a comorbid condition.",179,"The diagnostic overshadowing bias is the tendency to attribute all of a person's symptoms to one diagnosis, such as a learning disability, and overlook the possibility of comorbid conditions."
Exam 1,Question 9,A supervisor notices that an employee seems to be putting more time and effort into his work but this increase has not been accompanied by an increase in productivity. The employee's behavior is most likely:,B. an early sign of job burnout.,"EPPP-P1-ORG-Satisfaction, Commitment, and Stress-212 Answer B is correct. An early sign of burnout is an increase in the time and effort put into work without an increase in productivity. Other early signs include reduced motivation, increased irritability and negativity, social withdrawal, and somatic symptoms.",ORG,"Satisfaction, Commitment, and Stress","An early sign of burnout is an increase in the time and effort put into work without an increase in productivity. Other early signs include reduced motivation, increased irritability and negativity, social withdrawal, and somatic symptoms.",212,An early sign of job burnout is an increase in the time and effort put into work without an increase in productivity.
Exam 1,Question 10,"The effects of damage to the left and right hemispheres of the cerebral cortex depend on the specific location of the damage but, with regard to emotions, damage to the left hemisphere is most likely to produce:",B. depression or emotional volatility.,"EPPP-P1-PHY-Emotions and Stress-159 Answer B is correct. Positive emotions are processed primarily in the left hemisphere, and damage to this hemisphere can produce depression or emotional volatility (which is described by some authors as a catastrophic reaction). Negative emotions are processed primarily in the right hemisphere, and damage can produce inappropriate indifference or euphoria.",PHY,Emotions and Stress,"Positive emotions are processed primarily in the left hemisphere, and damage to this hemisphere can produce depression or emotional volatility (which is described by some authors as a catastrophic reaction). Negative emotions are processed primarily in the right hemisphere, and damage can produce inappropriate indifference or euphoria.",159,"Damage to the left hemisphere of the cerebral cortex is most likely to produce depression or emotional volatility, while damage to the right hemisphere can produce inappropriate indifference or euphoria."
